,Unnamed: 0,Run Name,SET ≤ 12.2°C Hours (F),Hours < 2°C [hr],Hours Above Vanos Threshold [hr],Total Deadly Days,Min outdoor DB [°C],Min outdoor DP [°C],Max outdoor DB [°C],Max outdoor DP [°C],"Caution (> 26.7, ≤ 32.2°C) [hr]","Extreme Caution (> 32.2, ≤ 39.4°C) [hr]","Danger (> 39.4, ≤ 51.7°C) [hr]",Extreme Danger (> 51.7°C) [hr],EUI,Peak Electric Demand [W],Heating Battery Size [kWh],Cooling Battery Size [kWh],First Year Electric Cost [$],First Year Gas Cost [$],First Cost [$],Wall Cost [$],Roof Cost [$],Floor Cost [$],Window Cost [$],Door Cost [$],Air Sealing Cost [$],Mechanical Cost [$],Water Heater Cost [$],Appliances Cost [$],PV Cost [$],Battery Cost [$],Total ADORB Cost [$],pv_dirEn_tot,pv_dirMR_tot,pv_opCO2_tot,pv_emCO2_tot,pv_eTrans_tot
43,0,2B_IECC_TMY_DCint_4000_2775,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.1511153380914,1276.3895310313694,0,134586.14,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15260.45,423826.0936876099,47862.84509487796,331276.6434036526,5415.433129656513,32227.332813000005,7043.839246422796
44,0,2B_IECC_TMY_DCint_4000_28,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.1511153380914,1276.3895310313694,0,134586.14,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15260.45,423826.0936876099,47862.84509487796,331276.6434036526,5415.433129656513,32227.332813000005,7043.839246422796
45,0,2B_IECC_TMY_DCint_4000_2825,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.1511153380914,1276.3895310313694,0,134586.14,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15260.45,423826.0936876099,47862.84509487796,331276.6434036526,5415.433129656513,32227.332813000005,7043.839246422796
46,0,2B_IECC_TMY_DCint_4000_285,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,156.75,2.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.33740782955704,1276.3895310313694,0,134660.66,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15334.96,423987.5681791221,47862.84509487796,331422.7512467898,5415.433129656513,32242.699461375007,7043.839246422796
47,0,2B_IECC_TMY_DCint_4000_2875,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,157.0,2.75,0.0,0.0,14.52,3354.74,8.655433791041657,37.93899505297354,1276.3895310313694,0,134501.29,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15175.6,423642.2240079653,47862.84509487796,331110.2708546329,5415.433129656513,32209.835682375007,7043.839246422796
48,0,2B_IECC_TMY_DCint_4000_29,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,155.5,2.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.53190472133946,1276.3895310313694,0,134738.46,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15412.76,424156.1605312299,47862.84509487796,331575.30026639765,5415.433129656513,32258.742793875004,7043.839246422796
49,0,2B_IECC_TMY_DCint_4000_2925,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,156.75,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,37.545253976779605,1276.3895310313694,0,134343.8,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15018.1,423300.933568725,47862.84509487796,330801.4571291427,5415.433129656513,32177.358968625,7043.839246422796
50,0,2B_IECC_TMY_DCint_4000_295,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.5,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,37.450169296371065,1276.3895310313694,0,134305.76,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,14980.07,423218.5111209775,47862.84509487796,330726.87869777024,5415.433129656513,32169.514952250007,7043.839246422796
51,0,2B_IECC_TMY_DCint_4000_2975,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,153.0,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.22833450574297,1276.3895310313694,0,134617.03,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15291.33,423893.0221081393,47862.84509487796,331337.202227182,5415.433129656513,32233.70241000001,7043.839246422796
52,0,2B_IECC_TMY_DCint_4000_30,0.0,0.0,1.25,0,-1.0625,-20.375,39.0,18.0,150.75,0.5,0.0,0.0,14.52,3354.74,8.655433791041657,47.80815752937298,1276.3895310313694,0,138448.96,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,19123.26,432196.8022085583,47862.84509487796,338850.790462476,5415.433129656513,33023.894275125,7043.839246422796
